frame,start_time,end_time,age,gen,emotion,age_classes,severity_score
460,30.6229694,30.689636,33,M,Neutral,2,1
461,30.689636,30.7563026,34,M,Neutral,2,1
462,30.7563026,30.8229692,30,M,Sad,2,2
463,30.8229692,30.8896358,31,M,Neutral,2,1
491,32.689634,32.7563006,35,F,Neutral,2,1
492,32.7563006,32.8229672,35,F,Neutral,2,1
493,32.8229672,32.889633800000006,35,F,Neutral,2,1
494,32.889633800000006,32.9563004,36,F,Neutral,2,1
497,33.0896336,33.1563002,35,M,Neutral,2,1
498,33.1563002,33.2229668,35,M,Neutral,2,1
499,33.2229668,33.2896334,35,M,Neutral,2,1
500,33.2896334,33.356300000000005,36,M,Neutral,2,1
501,33.356300000000005,33.4229666,36,M,Neutral,2,1
502,33.4229666,33.4896332,35,M,Neutral,2,1
503,33.4896332,33.5562998,36,M,Neutral,2,1
504,33.5562998,33.6229664,37,M,Neutral,2,1
599,39.8896268,39.9562934,35,F,Neutral,2,1
600,39.9562934,40.02296,35,M,Neutral,2,1
601,40.02296,40.0896266,36,M,Neutral,2,1
602,40.0896266,40.1562932,35,M,Neutral,2,1
603,40.1562932,40.2229598,34,M,Neutral,2,1
604,40.2229598,40.2896264,33,M,Neutral,2,1
605,40.2896264,40.356293,35,M,Neutral,2,1
606,40.356293,40.4229596,34,F,Neutral,2,1
607,40.4229596,40.4896262,35,F,Neutral,2,1
608,40.4896262,40.5562928,34,F,Neutral,2,1
631,42.022958,42.0896246,37,M,Sad,2,2
654,43.5562898,43.6229564,35,M,Neutral,2,1
655,43.6229564,43.689623,36,M,Neutral,2,1
657,43.7562896,43.8229562,34,M,Neutral,2,1
658,43.8229562,43.8896228,35,M,Neutral,2,1
659,43.8896228,43.9562894,36,M,Sad,2,2
660,43.9562894,44.022956,35,M,Sad,2,2
661,44.022956,44.089622600000006,35,M,Sad,2,2
662,44.089622600000006,44.1562892,34,M,Sad,2,2
663,44.1562892,44.2229558,33,M,Neutral,2,1
664,44.2229558,44.2896224,33,M,Sad,2,2
966,64.356269,64.4229356,30,M,Neutral,2,1
975,64.9562684,65.022935,33,M,Neutral,2,1
981,65.356268,65.4229346,32,M,Neutral,2,1
982,65.4229346,65.4896012,32,M,Neutral,2,1
983,65.4896012,65.5562678,33,M,Neutral,2,1
984,65.5562678,65.62293439999999,32,F,Neutral,2,1
985,65.62293439999999,65.689601,33,F,Neutral,2,1
986,65.689601,65.7562676,33,F,Neutral,2,1
987,65.7562676,65.8229342,34,F,Neutral,2,1
994,66.22293379999999,66.2896004,32,F,Sad,2,2
995,66.2896004,66.356267,31,M,Neutral,2,1
996,66.356267,66.42293360000001,29,M,Neutral,1,1
997,66.42293360000001,66.4896002,31,M,Neutral,2,1
998,66.4896002,66.5562668,34,M,Neutral,2,1
999,66.5562668,66.6229334,32,M,Neutral,2,1
1000,66.6229334,66.68960000000001,33,M,Sad,2,2
1001,66.68960000000001,66.7562666,35,M,Neutral,2,1
1002,66.7562666,66.8229332,35,M,Neutral,2,1
1003,66.8229332,66.8895998,32,M,Neutral,2,1
1004,66.8895998,66.95626639999999,33,M,Neutral,2,1
1005,66.95626639999999,67.02293300000001,28,M,Neutral,1,1
